"","satfin","income16","new_income_range"
"1307","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"1308","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"1309","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"1310","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"1311","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"1312","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"1313","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"1314","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"1315","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1316","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"1317","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"1318","Not satisfied at all","$90000 TO $109999","90 000 to 170 000"
"1319","More or less satisfied","$1 000 TO 2 999","0 to 9 999"
"1320","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"1321","Not satisfied at all","$7 000 TO 7 999","0 to 9 999"
"1322","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1323","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"1324","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"1325","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"1326","Not satisfied at all","$110000 TO $129999","90 000 to 170 000"
"1327","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"1328","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"1329","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"1330","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"1331","Not satisfied at all","$110000 TO $129999","90 000 to 170 000"
"1332","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1333","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"1334","Not satisfied at all","$8 000 TO 9 999","0 to 9 999"
"1335","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1336","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1337","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"1338","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"1339","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"1340","Not satisfied at all","$22500 TO 24999","20 000 to 39 999"
"1341","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"1342","Not satisfied at all","$8 000 TO 9 999","0 to 9 999"
"1343","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1344","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"1345","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"1346","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"1347","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"1348","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"1349","More or less satisfied","$3 000 TO 3 999","0 to 9 999"
"1350","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"1351","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"1352","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"1353","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"1354","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"1355","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"1356","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"1357","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"1358","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"1359","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"1360","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"1361","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"1362","More or less satisfied","$8 000 TO 9 999","0 to 9 999"
"1363","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"1364","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"1365","More or less satisfied","$22500 TO 24999","20 000 to 39 999"
"1366","Not satisfied at all","UNDER $1 000","0 to 9 999"
"1367","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"1368","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"1369","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"1370","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1371","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"1372","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"1373","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"1374","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"1375","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"1376","Not satisfied at all","$8 000 TO 9 999","0 to 9 999"
"1377","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"1378","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"1379","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"1380","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"1381","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"1382","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"1383","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"1384","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"1385","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"1386","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"1387","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"1388","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"1389","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"1390","More or less satisfied","$17500 TO 19999","10 000 to 19 999"
"1391","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"1392","More or less satisfied","$15000 TO 17499","10 000 to 19 999"
"1393","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"1394","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"1395","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"1396","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"1397","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"1398","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"1399","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"1400","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1401","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1402","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"1403","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"1404","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"1405","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1406","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1407","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"1408","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"1409","Not satisfied at all","$22500 TO 24999","20 000 to 39 999"
"1410","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"1411","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"1412","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"1413","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"1414","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"1415","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"1416","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"1417","More or less satisfied","$10000 TO 12499","10 000 to 19 999"
"1418","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1419","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"1420","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"1421","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"1422","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"1423","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"1424","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"1425","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"1426","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"1427","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"1428","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"1429","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"1430","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"1431","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"1432","Not satisfied at all","$50000 TO 59999","40 000 to 89 999"
"1433","More or less satisfied","UNDER $1 000","0 to 9 999"
"1434","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"1435","More or less satisfied","$3 000 TO 3 999","0 to 9 999"
"1436","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"1437","Not satisfied at all","$22500 TO 24999","20 000 to 39 999"
"1438","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"1439","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1440","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"1441","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"1442","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"1443","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"1444","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"1445","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"1446","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1447","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"1448","More or less satisfied","$10000 TO 12499","10 000 to 19 999"
"1449","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"1450","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"1451","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"1452","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"1453","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1454","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"1455","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"1456","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"1457","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"1458","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"1459","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"1460","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"1461","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"1462","Pretty well satisfied","$90000 TO $109999","90 000 to 170 000"
"1463","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"1464","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"1465","Pretty well satisfied","$15000 TO 17499","10 000 to 19 999"
"1466","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"1467","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"1468","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"1469","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"1470","Not satisfied at all","$30000 TO 34999","20 000 to 39 999"
"1471","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"1472","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"1473","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"1474","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"1475","Pretty well satisfied","$15000 TO 17499","10 000 to 19 999"
"1476","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"1477","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"1478","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1479","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"1480","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"1481","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"1482","Not satisfied at all","$20000 TO 22499","20 000 to 39 999"
"1483","Not satisfied at all","$15000 TO 17499","10 000 to 19 999"
"1484","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"1485","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"1486","Not satisfied at all","$25000 TO 29999","20 000 to 39 999"
"1487","Not satisfied at all","$15000 TO 17499","10 000 to 19 999"
"1488","More or less satisfied","$5 000 TO 5 999","0 to 9 999"
"1489","Pretty well satisfied","$150000 TO $169999","90 000 to 170 000"
"1490","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1491","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"1492","Not satisfied at all","$10000 TO 12499","10 000 to 19 999"
"1493","Not satisfied at all","$8 000 TO 9 999","0 to 9 999"
"1494","Not satisfied at all","$5 000 TO 5 999","0 to 9 999"
"1495","Pretty well satisfied","$130000 TO $149999","90 000 to 170 000"
"1496","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"1497","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"1498","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"1499","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"1500","More or less satisfied","$170000 OR OVER","90 000 to 170 000"
"1501","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"1502","More or less satisfied","$150000 TO $169999","90 000 to 170 000"
"1503","Not satisfied at all","$8 000 TO 9 999","0 to 9 999"
"1504","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1505","More or less satisfied","$7 000 TO 7 999","0 to 9 999"
"1506","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"1507","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"1508","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"1509","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"1510","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1511","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"1512","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"1513","More or less satisfied","$75000 TO $89999","40 000 to 89 999"
"1514","Not satisfied at all","UNDER $1 000","0 to 9 999"
"1515","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"1516","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"1517","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"1518","Not satisfied at all","$12500 TO 14999","10 000 to 19 999"
"1519","More or less satisfied","$25000 TO 29999","20 000 to 39 999"
"1520","Pretty well satisfied","$110000 TO $129999","90 000 to 170 000"
"1521","More or less satisfied","$12500 TO 14999","10 000 to 19 999"
"1522","Pretty well satisfied","$50000 TO 59999","40 000 to 89 999"
"1523","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"1524","More or less satisfied","$40000 TO 49999","40 000 to 89 999"
"1525","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1526","More or less satisfied","UNDER $1 000","0 to 9 999"
"1527","Pretty well satisfied","$40000 TO 49999","40 000 to 89 999"
"1528","Not satisfied at all","$75000 TO $89999","40 000 to 89 999"
"1529","Not satisfied at all","$60000 TO 74999","40 000 to 89 999"
"1530","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"1531","Not satisfied at all","$35000 TO 39999","20 000 to 39 999"
"1532","More or less satisfied","$130000 TO $149999","90 000 to 170 000"
"1533","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
"1534","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"1535","Pretty well satisfied","$25000 TO 29999","20 000 to 39 999"
"1536","More or less satisfied","$60000 TO 74999","40 000 to 89 999"
"1537","More or less satisfied","$35000 TO 39999","20 000 to 39 999"
"1538","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1539","Not satisfied at all","$40000 TO 49999","40 000 to 89 999"
"1540","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1541","Pretty well satisfied","$75000 TO $89999","40 000 to 89 999"
"1542","More or less satisfied","$90000 TO $109999","90 000 to 170 000"
"1543","More or less satisfied","$110000 TO $129999","90 000 to 170 000"
"1544","Pretty well satisfied","$170000 OR OVER","90 000 to 170 000"
"1545","More or less satisfied","$50000 TO 59999","40 000 to 89 999"
"1546","More or less satisfied","$30000 TO 34999","20 000 to 39 999"
"1547","Pretty well satisfied","$60000 TO 74999","40 000 to 89 999"
